0.429016 -nan
0.434089 0.024631
0.436300 0.171111
0.432669 0.371282
0.427045 0.444267
0.422859 0.461217
0.417511 0.475314
0.410128 0.491459
0.402822 0.503398
0.397182 0.508772
0.389310 0.518232
0.381073 0.527840
0.371423 0.538285
0.362295 0.546173
0.352079 0.554965
0.340557 0.563220
0.328817 0.570629
0.316554 0.578768
0.302555 0.587749
0.290047 0.594360
0.279283 0.598880
0.271173 0.600739
0.262127 0.603319
0.254923 0.604560
0.249044 0.605292
0.242812 0.605179
0.236633 0.604600
0.231120 0.603074
0.224747 0.602483
0.219288 0.601044
0.212828 0.600613
0.207584 0.599201
0.202571 0.597933
0.197200 0.595823
0.191297 0.594861
0.186725 0.593040
0.182771 0.590500
0.177572 0.588470
0.174424 0.584373
0.170174 0.581829
0.165830 0.580131
0.163770 0.577025
0.161974 0.573565
0.159682 0.570976
0.156810 0.567665
0.154906 0.565345
0.151709 0.562579
0.149119 0.560036
0.144922 0.558150
0.142514 0.554707
0.137536 0.552879
0.132677 0.550762
0.129268 0.548051
0.126017 0.545408
0.121885 0.542272
0.119341 0.539455
0.116683 0.536958
0.114014 0.534017
0.113231 0.530441
0.111140 0.527287
0.110786 0.523930
0.107916 0.521087
0.105753 0.518305
0.101833 0.515872
0.101345 0.513076
0.101019 0.509774
0.101116 0.506604
0.102632 0.503372
0.102180 0.500372
0.100035 0.497970
0.098765 0.495745
0.099285 0.492896
0.097886 0.490166
0.097331 0.486917
0.097311 0.484367
0.096674 0.482058
0.095459 0.479615
0.095330 0.477459
0.095548 0.475356
0.094644 0.473480
0.095005 0.471324
0.094541 0.469706
0.096322 0.467862
0.096497 0.465677
0.096301 0.464228
0.092728 0.462882
0.090719 0.461441
0.092939 0.460123
0.093844 0.458677
0.095944 0.457290
0.094617 0.456063
0.097872 0.454599
0.100983 0.453063
0.101301 0.452051
0.102041 0.450928
0.104040 0.449916
0.104320 0.448980
0.105263 0.448100
0.107062 0.447246
0.106383 0.446583
0.108508 0.445707
0.110540 0.444893
0.111554 0.444309
0.110650 0.443714
0.110305 0.443007
0.111621 0.442212
0.114467 0.441574
0.111481 0.441108
0.113636 0.440425
0.117424 0.439392
0.118609 0.438566
0.116592 0.437759
0.117647 0.436968
0.124668 0.436184
0.123167 0.435517
0.115756 0.435077
0.127208 0.434321
0.129278 0.433906
0.135246 0.433457
0.140909 0.432937
0.149758 0.432589
0.158730 0.432170
0.143678 0.432079
0.146497 0.431750
0.146853 0.431501
0.137405 0.431367
0.140496 0.431163
0.133929 0.431047
0.125000 0.430958
0.106383 0.430878
0.102273 0.430781
0.097561 0.430683
0.081081 0.430595
0.029412 0.430682
0.015625 0.430637
0.015625 0.430637
0.015873 0.430611
0.000000 0.430619
0.000000 0.430567
0.000000 0.430488
0.000000 0.430461
0.000000 0.430382
0.000000 0.430303
0.000000 0.430250
0.000000 0.430171
0.000000 0.430119
0.000000 0.430092
0.000000 0.430092
0.000000 0.430013
0.000000 0.429987
0.000000 0.429935
0.000000 0.429935
0.000000 0.429882
0.000000 0.429856
0.000000 0.429856
0.000000 0.429751
0.000000 0.429724
0.000000 0.429645
0.000000 0.429593
0.000000 0.429514
0.000000 0.429514
0.000000 0.429488
0.000000 0.429383
0.000000 0.429331
0.000000 0.429278
0.000000 0.429226
0.000000 0.429199
0.000000 0.429095
0.000000 0.429095
0.000000 0.429068
0.000000 0.429042
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
-nan 0.429016
